Marque,reporting+70,Trage,SEGMENT_MODOP,PVFP,CAYVP,NBSTIONS,NBVERSEURS,CAHVP,CAYVPUC,collecte,presta,PM actu
MAAF,0,40-50ans,Ex PC,58578.52753379125,968193.3200000001,1017,45,950399.72,230928.0,1093433.667486038,113672.8079540917,18767772.33469662
MAAF,0,40-50ans,GP,1575215.854513617,23369892.63,77386,3948,20657461.48,5240124.219999999,41887644.8510976,4553198.4902378,627530422.0147069
MAAF,0,40-50ans,NC,1123840.913302599,638040.6199999996,118469,0,0.0,0.0,17509907.99178375,5247754.841512452,0.0
MAAF,0,40-50ans,PC,2358977.131829245,24173505.83,7062,1004,23722787.74,8836858.72,27428504.73230769,3892524.701948588,540301336.0902648
MAAF,0,40-50ans,PP,725065.4441602186,7642691.119999999,10948,932,6692538.06,2220983.9,14447423.54068177,1641806.207872578,222680852.8625966
MAAF,0,50-60ans,Ex PC,76813.24072714687,1502194.61,1520,76,1463700.28,281323.74,1768569.457577744,442709.010023693,27812518.74519398
MAAF,0,50-60ans,GP,2666365.38835622,41567409.01,88430,5664,37967511.95999999,8931089.949999997,66872140.38167559,16901195.58824968,1035614193.918939
MAAF,0,50-60ans,NC,965022.588813441,622418.3600000001,71130,0,0.0,0.0,14395922.9667651,4314487.231019762,0.0
MAAF,0,50-60ans,PC,6422704.449666558,70165082.68,17592,2625,68943965.96,25033094.79,79096726.70377952,25506760.97129257,1531471737.579171
MAAF,0,50-60ans,PP,1514833.638934362,18710442.81,16594,1507,17395019.55,5614239.32,28265868.16123725,7433775.716376548,444220069.9412255
MAAF,0,60-70ans,Ex PC,136398.587033507,2524962.78,2022,98,2498335.02,637164.2000000001,2712105.398915675,1291269.423126389,43528187.45397652
MAAF,0,60-70ans,GP,2233762.673358314,44113944.67,67514,4448,42337911.29,10292901.2,56329915.68085547,24550816.37683898,862020836.8518962
MAAF,0,60-70ans,NC,1914217.765742455,183555.35,17553,0,0.0,0.0,29935891.955105,6685824.548177809,0.0
MAAF,0,60-70ans,PC,8123713.598556725,116474283.96,30272,3574,115800982.87,38811638.87,121272527.1735792,64279583.9633221,2164266389.557597
MAAF,0,60-70ans,PP,1473500.149845792,24547954.09,16128,1407,23993858.11,6986068.579999999,28422590.82981044,13139895.84093287,457790776.3569751
MAAF,1,+80ans,Ex PC,22959.62150027231,2436830.58,1877,65,2420345.42,14243.0,2514251.816420401,2070813.385283615,23095561.791958
MAAF,1,+80ans,GP,97661.17123773614,9800475.92,17141,655,9630290.340000002,272980.05,10676496.4560476,8197193.556339385,91619489.81234169
MAAF,1,+80ans,PC,427770.9191951009,40604125.09,17123,757,40545436.35,1411789.68,40909101.3051396,34456490.69754744,359497259.8173323
MAAF,1,+80ans,PP,4033.294976296318,351900.9500000001,276,21,347082.96,8074.8,382069.2460154083,284844.173834564,3497531.690860133
MAAF,1,70-75ans,Ex PC,34762.40139727958,1257885.73,1112,48,1249663.13,147693.6,1310387.993632638,690786.4403825729,17253437.6688197
MAAF,1,70-75ans,GP,523165.8150041297,15163647.0,23764,1308,14751371.01,2858920.77,17871475.05657076,10167841.44602916,240522336.3580626
MAAF,1,70-75ans,NC,0.0,0.0,473,0,0.0,0.0,0.0,0.0,0.0
MAAF,1,70-75ans,PC,3005268.616805113,57759803.56,18720,1494,57644892.53999999,18677199.22,58514770.12742382,38394458.96280804,888209685.5459528
MAAF,1,70-75ans,PP,422330.0541659093,9648125.86,7353,458,9544167.809999999,2747298.62,10341737.5474444,6249093.396764783,143421687.565125
MAAF,1,75-80ans,Ex PC,9774.992811297703,519004.03,752,35,513725.52,41710.0,551906.3445665853,327457.6107096695,5983821.665151165
MAAF,1,75-80ans,GP,149644.9538260558,6357725.41,13256,628,6158628.12,863050.3300000001,7565836.577569118,4977411.411981803,86220433.50437994
MAAF,1,75-80ans,PC,1025226.343054872,29319067.66,12398,656,29268644.25,7620693.74,29642246.16602264,21928696.07037283,376238555.6134123
