Marque,Segment,Trage,SEGMENT_MODOP,reporting+70,PVFP,PM actu,collecte,rachatsNBtotactu,DCNBtotactu,prestations
MAAF,EURO,70-75ans,GP,1,209691.2634272537,194913156.4492484,14759143.33665853,7211194.327780673,8296071.513817969,15507265.84159864
MAAF,EURO,70-75ans,PC,1,723908.0034554214,586245529.1704546,39644906.70064743,16757582.52713134,25490077.070674,42247659.59780534
MAAF,EURO,70-75ans,PP,1,117940.8339837748,101557785.530192,7501249.724325855,3502497.084043996,4444415.362008546,7946912.446052542
MAAF,EURO,75-80ans,Ex PC,1,5969.333668910795,5436772.809909982,509944.2766587986,238811.421251037,294468.0951388213,533279.5163898584
MAAF,EURO,75-80ans,GP,1,74638.20493386989,74436825.63498457,6599531.832842216,2599353.665184207,4327539.110349128,6926892.775533335
MAAF,EURO,75-80ans,PC,1,310647.563801133,274667653.3968201,21961036.83407404,7425386.419235714,15962421.7787614,23387808.19799712
MAAF,EURO,75-80ans,PP,1,48161.62134990733,43391126.68823288,3664553.050798766,1440860.334221131,2421630.979643008,3862491.313864139
MAAF,Prevoyance,0-30ans,NC,0,677869.6107731934,0.0,10737110.40316795,0.0,3217933.705220934,3217933.705220934
MAAF,Prevoyance,30-40ans,NC,0,863401.9501622781,0.0,13623114.42159826,0.0,4082874.946913846,4082874.946913846
MAAF,Prevoyance,40-50ans,NC,0,1123840.913302599,0.0,17509907.99178375,0.0,5247754.841512452,5247754.841512452
MAAF,Prevoyance,50-60ans,NC,0,965022.588813441,0.0,14395922.9667651,0.0,4314487.231019762,4314487.231019762
MAAF,Prevoyance,60-70ans,NC,0,1914217.765742455,0.0,29935891.955105,0.0,6685824.548177809,6685824.548177809
MAAF,Prevoyance,70-75ans,NC,1,0.0,0.0,0.0,0.0,0.0,0.0
MAAF,UC,+80ans,Ex PC,1,1003.360960923443,174170.1297309112,17091.35019831111,4190.826704162832,14555.36314958885,18746.18985375168
MAAF,UC,+80ans,GP,1,16622.42981232385,3001576.608555668,297421.6755644689,104905.6046187656,222797.4989689407,327703.1035877063
MAAF,UC,+80ans,PC,1,86489.09172457144,14233912.70341872,1421538.958760822,365661.6450447348,1217665.992960318,1583327.638005053
MAAF,UC,+80ans,PP,1,544.4634321011399,87371.65088135199,8395.398527278072,2418.917762550931,6912.696229957685,9331.613992508615
MAAF,UC,0-30ans,Ex PC,0,19048.12821863743,2662775.801339679,161928.8558882716,121965.2026617226,4870.851104241635,126836.0537659642
MAAF,UC,0-30ans,GP,0,269690.6911792631,62151177.87973602,4059678.93883806,3403737.593890927,70299.43627356688,3474037.030164494
MAAF,UC,0-30ans,PC,0,514879.7885094252,60906886.86189651,2753896.775869438,2169310.380609076,63074.17320588764,2232384.553814963
MAAF,UC,0-30ans,PP,0,87370.44663751227,12594179.16871415,769523.2362287148,675309.1135819755,10835.85359117844,686144.9671731539
MAAF,UC,30-40ans,Ex PC,0,21223.26570105358,2802245.37567922,161049.8860750179,126233.9045050935,7186.478098468715,133420.3826035622
MAAF,UC,30-40ans,GP,0,475855.2769880851,83243357.94484158,5594228.808865855,4326488.370148067,254052.5407752381,4580540.910923306
MAAF,UC,30-40ans,PC,0,507442.2916935179,60023810.36730973,2970107.029219106,2355230.407096553,152590.6934429526,2507821.100539505
MAAF,UC,30-40ans,PP,0,282297.5922232576,39162040.67247583,2520585.525953088,1755479.227906126,138308.6631256122,1893787.891031738
MAAF,UC,40-50ans,Ex PC,0,35684.0541568804,4373693.579136938,247309.4617750161,199940.4735184011,23926.57579765331,223867.0493160544
MAAF,UC,40-50ans,GP,0,830051.3693561102,130642567.4175712,8453584.598260172,5976388.088219769,911088.1887912176,6887476.277010987
MAAF,UC,40-50ans,PC,0,1762974.182577362,208457663.2512639,10104163.48830704,6522283.232859635,1453477.050393313,7975760.283252948
MAAF,UC,40-50ans,PP,0,426122.1458857929,59501984.91594385,4061955.041107296,2812445.62027032,390945.2034976105,3203390.823767931
MAAF,UC,50-60ans,Ex PC,0,42854.53723495067,5490864.401176784,298164.4346211042,194700.6689464496,87184.05269139433,281884.7216378439
MAAF,UC,50-60ans,GP,0,1468727.823505186,216251535.7107223,12893528.92289544,7545471.676867389,3397047.967364776,10942519.64423217
MAAF,UC,50-60ans,PC,0,4763971.874142862,575950099.3036382,28122390.770769,14443109.61332613,9313623.61820672,23756733.23153285
MAAF,UC,50-60ans,PP,0,942272.0120775526,124998302.3369301,7708654.040163566,4573874.341573038,1884033.415688117,6457907.757261155
MAAF,UC,60-70ans,Ex PC,0,94600.37246354537,12200372.64612831,662417.3220326682,311534.0070136524,366340.6589484538,677874.6659621063
MAAF,UC,60-70ans,GP,0,1417793.794535413,199219499.5487399,11725348.28855487,6223779.038661839,5664643.495446417,11888422.53410826
MAAF,UC,60-70ans,PC,0,6107508.788703556,765707880.251397,40271083.66885512,18091636.09354662,22575227.38013354,40666863.47368015
MAAF,UC,60-70ans,PP,0,1012484.11880188,133246222.3548916,7825048.150408993,4060374.149141916,3756373.456573899,7816747.605715815
MAAF,UC,70-75ans,Ex PC,1,17362.6950450404,2378627.333840278,154250.5801265585,56220.57498670759,110852.4582277706,167073.0332144782
MAAF,UC,70-75ans,GP,1,313474.5515768762,45609179.90881423,3112331.71991224,1481296.304567114,1871769.932211195,3353066.236778309
MAAF,UC,70-75ans,PC,1,2281360.613349695,301964156.3754981,18869863.42677636,7575806.28482831,12904381.89213402,20480188.17696233
MAAF,UC,70-75ans,PP,1,304389.2201821345,41863902.03493296,2840487.823118551,1280935.262194587,1804678.034756232,3085613.296950819
MAAF,UC,75-80ans,Ex PC,1,3805.659142386909,547048.8552411828,41962.06790778662,13486.49545193749,32989.5155708481,46476.01102278558
MAAF,UC,75-80ans,GP,1,75006.748892186,11783607.86939534,966304.7447269044,406153.4938955926,649872.301632676,1056025.795528269
MAAF,UC,75-80ans,PC,1,714578.7792537399,101570902.2165922,7681209.331948621,2536334.281716034,5966274.291611439,8502608.573327472
MAAF,UC,75-80ans,PP,1,84389.09384847672,12289243.26913189,966615.7494012384,390448.1672672761,674634.4514891406,1065082.618756417
GMF,EURO,+80ans,GP,1,382347.9849103653,468068755.5142412,54243826.34330259,8989995.75241267,48859989.27583882,57849985.02825149
GMF,EURO,+80ans,PC,1,696806.205909526,808563190.2386582,92410776.32710364,10647764.13846128,88225429.22541927,98873193.36388054
